locus_SNP	locus	gRNA	cisGene	logFC	logCPM	PValue	FDR	empiricalP	empiricalFDR
rs7148456	BAG5	BAG5_1_gene	MARK3	-0.232	7.04	0.396	1	0.394	1
rs7148456	BAG5	BAG5_1_gene	APOPT1	-0.161	7.32	0.477	1	0.474	1
rs7148456	BAG5	BAG5_1_gene	CKB	0.138	10.9	0.407	1	0.405	1
rs7148456	BAG5	BAG5_1_gene	ZFYVE21	-0.0344	6.87	0.911	1	0.909	1
rs7148456	BAG5	BAG5_1_gene	KLC1	0.147	7.35	0.538	1	0.536	1
rs7148456	BAG5	BAG5_2_gene	MARK3	0.155	6.98	0.583	0.999	0.568	0.985
rs7148456	BAG5	BAG5_2_gene	APOPT1	-0.546	7.37	0.0149	0.884	0.0133	0.784
rs7148456	BAG5	BAG5_2_gene	CKB	-0.159	11	0.377	0.999	0.359	0.968
rs7148456	BAG5	BAG5_2_gene	ZFYVE21	0.116	6.84	0.705	0.999	0.694	0.995
rs7148456	BAG5	BAG5_2_gene	KLC1	-0.0817	7.37	0.718	0.999	0.707	0.995
rs7148456	BAG5	BAG5_3_gene	MARK3	-0.144	7	0.613	0.999	0.601	0.999
rs7148456	BAG5	BAG5_3_gene	APOPT1	-0.221	7.3	0.33	0.999	0.314	0.999
rs7148456	BAG5	BAG5_3_gene	CKB	0.158	10.9	0.364	0.999	0.348	0.999
rs7148456	BAG5	BAG5_3_gene	ZFYVE21	-0.0178	6.84	0.954	0.999	0.952	0.999
rs7148456	BAG5	BAG5_3_gene	KLC1	0.125	7.33	0.599	0.999	0.587	0.999
rs7170068	CHRNA3	CHRNA3_1_gene	IREB2	-0.844	6.7	0.289	0.998	0.271	0.978
rs7170068	CHRNA3	CHRNA3_1_gene	PSMA4	-0.294	9.25	0.38	0.998	0.363	0.985
rs7170068	CHRNA3	CHRNA3_2_gene	IREB2	-0.145	6.7	0.712	1	0.705	0.999
rs7170068	CHRNA3	CHRNA3_2_gene	PSMA4	-0.0756	9.25	0.578	1	0.568	0.999
rs7170068	CHRNA3	CHRNA3_3_gene	IREB2	0.26	6.66	0.604	0.978	0.599	0.97
rs7170068	CHRNA3	CHRNA3_3_gene	PSMA4	0.355	9.21	0.0571	0.885	0.0546	0.843
rs12716973	KCTD13	KCTD13_1_gene	INO80E	0.41	7	0.174	1	0.161	0.986
rs12716973	KCTD13	KCTD13_1_gene	MAZ	-0.112	7.46	0.62	1	0.61	0.998
rs12716973	KCTD13	KCTD13_1_gene	KIF22	0.0973	7.42	0.733	1	0.725	0.999
rs12716973	KCTD13	KCTD13_1_gene	CDIPT	-0.017	6.85	0.952	1	0.951	0.999
rs12716973	KCTD13	KCTD13_1_gene	HIRIP3	-0.295	7.12	0.304	1	0.289	0.986
rs12716973	KCTD13	KCTD13_1_gene	TMEM219	0.434	7.48	0.0651	1	0.0589	0.986
rs12716973	KCTD13	KCTD13_1_gene	PPP4C	0.0264	8.08	0.871	1	0.867	0.999
rs12716973	KCTD13	KCTD13_1_gene	MAPK3	0.146	6.78	0.656	1	0.646	0.999
rs12716973	KCTD13	KCTD13_2_gene	INO80E	0.208	7.02	0.46	0.999	0.443	0.996
rs12716973	KCTD13	KCTD13_2_gene	MAZ	0.0913	7.44	0.685	0.999	0.672	0.996
rs12716973	KCTD13	KCTD13_2_gene	KIF22	0.052	7.43	0.839	0.999	0.832	0.997
rs12716973	KCTD13	KCTD13_2_gene	CDIPT	0.362	6.83	0.247	0.999	0.229	0.996
rs12716973	KCTD13	KCTD13_2_gene	HIRIP3	0.395	7.06	0.202	0.999	0.185	0.996
rs12716973	KCTD13	KCTD13_2_gene	TMEM219	0.464	7.48	0.0448	0.999	0.0391	0.971
rs12716973	KCTD13	KCTD13_2_gene	PPP4C	-0.198	8.12	0.18	0.999	0.163	0.996
rs12716973	KCTD13	KCTD13_3_gene	INO80E	0.0691	7.01	0.867	0.997	0.861	0.994
rs12716973	KCTD13	KCTD13_3_gene	MAZ	-0.119	7.44	0.691	0.997	0.679	0.992
rs12716973	KCTD13	KCTD13_3_gene	KIF22	-0.882	7.5	0.00615	0.963	0.00537	0.842
rs12716973	KCTD13	KCTD13_3_gene	CDIPT	-0.0843	6.84	0.845	0.997	0.839	0.994
rs12716973	KCTD13	KCTD13_3_gene	HIRIP3	-0.406	7.1	0.276	0.994	0.258	0.928
rs12716973	KCTD13	KCTD13_3_gene	TMEM219	0.0775	7.51	0.797	0.997	0.788	0.992
rs12716973	KCTD13	KCTD13_3_gene	PPP4C	0.0686	8.07	0.745	0.997	0.735	0.992
rs12716973	KCTD13	KCTD13_3_gene	MAPK3	0.0471	6.77	0.915	0.997	0.911	0.994
rs2192932	KMT2E	KMT2E_1_gene	SRPK2	0.18	7.3	0.654	1	0.646	1
rs2192932	KMT2E	KMT2E_1_gene	KMT2E	-0.393	7.32	0.281	1	0.272	1
rs2192932	KMT2E	KMT2E_2_gene	SRPK2	-0.252	7.35	0.406	0.995	0.4	0.986
rs2192932	KMT2E	KMT2E_2_gene	KMT2E	0.15	7.3	0.636	0.995	0.631	0.991
rs2192932	KMT2E	KMT2E_3_gene	SRPK2	0.275	7.29	0.391	0.999	0.383	0.998
rs2192932	KMT2E	KMT2E_3_gene	KMT2E	-0.212	7.31	0.484	0.999	0.475	0.998
rs324017	NAB2	NAB2_1_gene	NAB2	0.841	6.74	0.0194	1	0.0188	0.995
rs324017	NAB2	NAB2_1_gene	SHMT2	0.11	7.53	0.684	1	0.675	0.996
rs324017	NAB2	NAB2_2_gene	NAB2	0.317	6.74	0.402	0.971	0.389	0.94
rs324017	NAB2	NAB2_2_gene	SHMT2	-0.015	7.53	0.956	0.993	0.954	0.991
rs324017	NAB2	NAB2_3_gene	NAB2	-0.0754	6.79	0.831	0.998	0.823	0.998
rs324017	NAB2	NAB2_3_gene	SHMT2	-0.295	7.59	0.304	0.998	0.281	0.985
rs301791	RERE	RERE_1_gene	RERE	0.341	6.96	0.215	0.99	0.203	0.986
rs301791	RERE	RERE_2_gene	RERE	0.272	6.95	0.319	0.997	0.313	0.996
rs301791	RERE	RERE_3_gene	RERE	-0.0203	6.96	0.96	0.999	0.958	0.998
rs324015	STAT6	STAT6_1_gene	NAB2	0.436	6.75	0.261	0.999	0.244	0.995
rs324015	STAT6	STAT6_1_gene	SHMT2	0.186	7.52	0.53	0.999	0.513	0.995
rs324015	STAT6	STAT6_2_gene	NAB2	0.273	6.77	0.398	0.992	0.377	0.952
rs324015	STAT6	STAT6_2_gene	SHMT2	-0.0884	7.57	0.733	0.999	0.722	0.986
rs324015	STAT6	STAT6_3_gene	SHMT2	-0.0387	7.56	0.858	0.999	0.853	0.995
rs9882911	TRANK1	TRANK1_1_gene	MLH1	0.165	6.99	0.843	0.998	0.839	0.998
rs9882911	TRANK1	TRANK1_2_gene	MLH1	0.235	6.96	0.486	0.999	0.474	0.999
rs9882911	TRANK1	TRANK1_3_gene	MLH1	-0.212	7	0.277	1	0.263	1
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	WDR73	0.276	7.22	0.443	0.99	0.435	0.973
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	SEC11A	-0.18	9.22	0.304	0.97	0.298	0.952
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	WDR73	0.228	7.24	0.584	0.967	0.574	0.954
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	SEC11A	0.212	9.2	0.34	0.93	0.33	0.9
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	WDR73	-0.261	7.26	0.459	0.998	0.444	0.995
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	SEC11A	0.39	9.18	0.0489	0.998	0.0461	0.995
rs2027349	VPS45	VPS45_1_gene	SF3B4	0.137	7.71	0.62	0.948	0.615	0.941
rs2027349	VPS45	VPS45_1_gene	PLEKHO1	0.0935	7.35	0.804	0.992	0.802	0.99
rs2027349	VPS45	VPS45_1_gene	ANP32E	1.01	7.67	0.0112	0.443	0.0121	0.459
rs2027349	VPS45	VPS45_1_gene	APH1A	-0.154	7.58	0.574	0.939	0.569	0.931
rs2027349	VPS45	VPS45_2_gene	SF3B4	0.0135	7.73	0.914	1	0.911	0.999
rs2027349	VPS45	VPS45_2_gene	PLEKHO1	-0.043	7.37	0.822	1	0.818	0.998
rs2027349	VPS45	VPS45_2_gene	ANP32E	0.109	7.71	0.536	1	0.529	0.998
rs2027349	VPS45	VPS45_2_gene	APH1A	-0.0229	7.58	0.867	1	0.863	0.998
rs2027349	VPS45	VPS45_3_gene	SF3B4	1.29	7.7	0.002	0.654	0.00203	0.612
rs2027349	VPS45	VPS45_3_gene	PLEKHO1	-0.00465	7.36	0.994	0.999	0.994	0.999
rs2027349	VPS45	VPS45_3_gene	ANP32E	0.315	7.72	0.471	0.97	0.454	0.937
rs2027349	VPS45	VPS45_3_gene	APH1A	-0.286	7.59	0.392	0.97	0.374	0.929
rs186132169	NGEF	NGEF_1_gene	GIGYF2	-0.59	6.91	0.163	0.996	0.148	0.952
rs186132169	NGEF	NGEF_2_gene	GIGYF2	-1.15	6.89	0.148	0.993	0.171	0.994
rs3861678	LINC00637	LINC00637_1_gene	ZFYVE21	-0.288	6.86	0.261	0.999	0.247	0.978
rs3861678	LINC00637	LINC00637_1_gene	KLC1	-0.00319	7.34	0.99	1	0.989	0.999
rs3861678	LINC00637	LINC00637_2_gene	ZFYVE21	-0.0596	6.84	0.842	0.999	0.837	0.998
rs3861678	LINC00637	LINC00637_2_gene	KLC1	0.297	7.31	0.214	0.999	0.201	0.998
rs3861678	LINC00637	LINC00637_3_gene	ZFYVE21	-0.22	6.83	0.35	0.997	0.331	0.971
rs3861678	LINC00637	LINC00637_3_gene	KLC1	-0.101	7.34	0.587	0.997	0.572	0.982
rs10933	PBRM1	PBRM1_1_gene	PBRM1	1.67	6.92	0.111	0.999	0.104	0.949
rs10933	PBRM1	PBRM1_1_gene	NT5DC2	-0.299	7.37	0.624	0.999	0.613	0.99
rs10933	PBRM1	PBRM1_1_gene	SMIM4	-0.431	6.98	0.531	0.999	0.519	0.984
rs10933	PBRM1	PBRM1_1_gene	GLT8D1	0.642	6.85	0.473	0.999	0.461	0.984
rs10933	PBRM1	PBRM1_1_gene	GNL3	-0.268	7.64	0.56	0.999	0.548	0.984
rs10933	PBRM1	PBRM1_1_gene	SPCS1	-0.0668	8.41	0.852	0.999	0.85	0.998
rs10933	PBRM1	PBRM1_2_gene	PBRM1	0.87	6.9	0.0904	0.998	0.0869	0.997
rs10933	PBRM1	PBRM1_2_gene	NT5DC2	0.0369	7.35	0.916	0.998	0.914	0.997
rs10933	PBRM1	PBRM1_2_gene	SMIM4	-0.141	6.96	0.731	0.998	0.725	0.997
rs10933	PBRM1	PBRM1_2_gene	GLT8D1	0.23	6.84	0.623	0.998	0.616	0.997
rs10933	PBRM1	PBRM1_2_gene	GNL3	-0.0592	7.63	0.83	0.998	0.826	0.997
rs10933	PBRM1	PBRM1_2_gene	SPCS1	0.0316	8.4	0.878	0.998	0.874	0.997
rs10933	PBRM1	PBRM1_3_gene	PBRM1	0.895	6.93	0.333	0.861	0.33	0.852
rs10933	PBRM1	PBRM1_3_gene	NT5DC2	1.78	7.34	0.0434	0.588	0.0492	0.667
rs10933	PBRM1	PBRM1_3_gene	SMIM4	0.487	6.96	0.54	0.941	0.534	0.929
rs10933	PBRM1	PBRM1_3_gene	GLT8D1	-0.188	6.86	0.807	0.976	0.803	0.971
rs10933	PBRM1	PBRM1_3_gene	GNL3	1.41	7.61	0.0258	0.523	0.0316	0.64
rs10933	PBRM1	PBRM1_3_gene	SPCS1	-0.0936	8.41	0.792	0.975	0.787	0.969
