locus_SNP	locus	gRNA	cisGene	logFC	MASTcpmdetvalue	FDR
rs7148456	BAG5	BAG5_1_gene	TRMT61A	-0.244307481951501	0.578806779576973	1
rs7148456	BAG5	BAG5_1_gene	BAG5	-0.267052453891571	0.859253455540213	1
rs7148456	BAG5	BAG5_1_gene	APOPT1	-0.239039164554768	0.291431325085052	1
rs7148456	BAG5	BAG5_1_gene	CKB	0.0878171121197191	0.882890728654856	1
rs7148456	BAG5	BAG5_2_gene	TRMT61A	0.274308835302611	0.876999746410981	1
rs7148456	BAG5	BAG5_2_gene	BAG5	0.222550591795883	0.834519832597478	1
rs7148456	BAG5	BAG5_2_gene	APOPT1	-0.348521067319107	0.0204996999111279	1
rs7148456	BAG5	BAG5_2_gene	CKB	0.00869628628353425	0.998971536125563	1
rs7148456	BAG5	BAG5_3_gene	TRMT61A	-0.129757825587671	0.485319791405948	1
rs7148456	BAG5	BAG5_3_gene	BAG5	-0.719018888126039	0.350970805875561	1
rs7148456	BAG5	BAG5_3_gene	APOPT1	-0.648143453522501	0.263726707391937	1
rs7148456	BAG5	BAG5_3_gene	CKB	0.10610887204262	0.85727202753871	1
rs7170068	CHRNA3	CHRNA3_1_gene	CHRNA5	-1.31122004769717	0.479600707562909	1
rs7170068	CHRNA3	CHRNA3_2_gene	CHRNA5	0.0687816326134731	0.960570062383594	1
rs7170068	CHRNA3	CHRNA3_3_gene	CHRNA5	-1.02943287823768	0.297424871662727	1
rs520843	GALNT10	GALNT10_1_gene	GALNT10	0.367417350034596	0.497365877332602	1
rs520843	GALNT10	GALNT10_2_gene	GALNT10	0.614777744472953	0.0677978219405955	1
rs520843	GALNT10	GALNT10_3_gene	GALNT10	0.552372206379035	0.0554195454535784	1
rs12716973	KCTD13	KCTD13_1_gene	SEZ6L2	-0.0232568144579646	0.933762962104257	1
rs12716973	KCTD13	KCTD13_1_gene	KCTD13	-0.257070571021113	0.797034354864792	1
rs12716973	KCTD13	KCTD13_1_gene	TAOK2	-0.425414061679635	0.417968414804415	1
rs12716973	KCTD13	KCTD13_1_gene	TMEM219	0.670174685754578	0.157674552398177	1
rs12716973	KCTD13	KCTD13_1_gene	ASPHD1	0.117121928624334	0.821153971852254	1
rs12716973	KCTD13	KCTD13_2_gene	SEZ6L2	0.312599636778502	0.601449982734203	1
rs12716973	KCTD13	KCTD13_2_gene	KCTD13	0.194119378048718	0.699804992334038	1
rs12716973	KCTD13	KCTD13_2_gene	TAOK2	-0.0812420809114072	0.755637922367155	1
rs12716973	KCTD13	KCTD13_2_gene	TMEM219	0.91697573790008	0.0773687282712427	1
rs12716973	KCTD13	KCTD13_3_gene	SEZ6L2	0.368185897253669	0.63054720729825	1
rs12716973	KCTD13	KCTD13_3_gene	KCTD13	-0.389658430477524	0.555018066902493	1
rs12716973	KCTD13	KCTD13_3_gene	TAOK2	0.488839281182137	0.593940871981116	1
rs12716973	KCTD13	KCTD13_3_gene	TMEM219	0.231174780719321	0.92364909155112	1
rs2192932	KMT2E	KMT2E_1_gene	KMT2E	-0.715448741328798	0.489448107936897	1
rs2192932	KMT2E	KMT2E_2_gene	KMT2E	0.20998300650138	0.678314658427128	1
rs2192932	KMT2E	KMT2E_3_gene	KMT2E	-0.295329414752358	0.583908009571899	1
rs324017	NAB2	NAB2_1_gene	LRP1	0.0194882692845666	0.996505791658276	1
rs324017	NAB2	NAB2_1_gene	NAB2	1.27753090103976	0.0589068041278743	1
rs324017	NAB2	NAB2_2_gene	LRP1	-0.514044914086944	0.421861017134963	1
rs324017	NAB2	NAB2_2_gene	NAB2	0.47930834705268	0.759277623271078	1
rs324017	NAB2	NAB2_3_gene	LRP1	-0.549554328526226	0.407742854487589	1
rs324017	NAB2	NAB2_3_gene	NAB2	-0.412002528367841	0.62583238907364	1
rs301791	RERE	RERE_1_gene	RERE	0.0731817653999718	0.227089819421921	1
rs301791	RERE	RERE_2_gene	RERE	0.0520987153692336	0.508309547977185	1
rs301791	RERE	RERE_3_gene	RERE	-0.343085038484511	0.679063346897317	1
rs324015	STAT6	STAT6_1_gene	LRP1	-0.597398397179453	0.447013393470551	1
rs324015	STAT6	STAT6_1_gene	NAB2	0.588218424235558	0.319261804147738	1
rs324015	STAT6	STAT6_2_gene	LRP1	-1.13107803039448	0.0433985262266836	1
rs324015	STAT6	STAT6_2_gene	NAB2	0.347915294776862	0.705348309464418	1
rs324015	STAT6	STAT6_3_gene	LRP1	-0.211477754628591	0.811342447967594	1
rs324015	STAT6	STAT6_3_gene	NAB2	0.542070900499706	0.0810610291744806	1
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	ZSCAN2	0.908981766134294	0.244986444232838	1
